DRAW_ID;N1;N2;N3;N4;N5;RANK1;RANK2;RANK3;RANK4;RANK5;RANK6;RANK7;RANK8;RANK9;RANK10;RANK11;RANK12;NB_TICKETS
98;1;2;18;31;36;0;2;5;37;657;1603;1700;25447;37181;80648;139978;590296;30895229
99;6;13;15;29;32;0;2;3;65;858;1668;2266;29285;36385;68753;145288;494730;19806139
100;2;7;10;23;43;1;5;6;82;1525;2579;4070;55389;63534;108386;265961;819372;30951662
101;19;23;27;42;44;1;2;8;64;912;1578;3135;43853;40358;66459;209623;559194;21334955
102;13;25;26;40;50;0;13;12;60;1147;2046;2333;34268;51534;95111;179120;747478;32255233
103;14;15;19;36;45;0;4;7;19;465;1188;1017;16244;23652;59713;87926;367278;20452300
104;3;13;15;29;42;1;9;24;126;2463;5594;5076;70063;105363;227662;361622;1426925;61644581
105;14;29;37;40;48;0;5;6;24;600;1303;1159;16861;23969;53292;93111;356791;20002250
106;20;28;35;42;43;2;5;3;41;805;1731;1766;25454;37874;82224;134688;559249;30386409
107;6;12;13;35;38;1;3;5;33;763;1338;1600;24147;35410;60519;122698;529755;20608689
108;7;19;29;30;33;0;6;14;73;1112;2011;3343;47216;51295;94942;234186;708105;27847394
109;9;10;30;32;37;1;4;3;31;518;1011;1556;26924;25128;50714;152910;416630;19591682
110;2;3;10;31;38;1;3;1;47;766;1783;1845;27965;40929;97629;150990;616414;31738919
111;29;33;39;41;44;0;0;2;24;503;1147;1324;18873;25620;54533;99379;381706;20492417
112;5;25;36;46;47;0;3;3;36;727;1589;2195;36632;36127;71811;222425;582226;30611054
113;18;27;39;43;47;1;2;10;76;985;1857;2682;35849;36882;68093;186669;512393;23745699
114;6;12;17;23;43;0;5;19;115;1539;2807;4304;59686;65915;114941;299851;885135;33856161
115;23;24;26;33;42;0;0;5;58;643;1214;2549;38549;36590;61007;202774;538582;22110230
116;6;20;24;35;50;0;7;10;52;1259;1940;2256;34294;43254;88361;177687;659199;32472506
117;19;23;25;44;48;0;4;5;33;722;1278;1563;22680;33112;58287;118201;489713;20917879
118;11;15;38;41;43;1;5;10;91;1092;2207;3222;49379;50055;99397;275793;765310;37244538
119;10;20;26;28;43;0;8;5;33;769;1687;1546;22261;33705;79657;117819;495986;24274535
120;5;11;35;38;45;0;4;9;48;1333;2191;2466;36146;58110;104759;198698;821926;34727542
121;13;17;21;42;44;0;3;10;39;829;1896;1638;23064;36649;82782;114631;502661;22723930
122;4;6;14;27;33;0;7;12;52;1486;3331;3110;42189;66028;148465;216635;909287;39758466
123;7;11;14;28;30;0;17;25;47;1206;3500;1851;22714;43643;106863;109177;501752;21011446
124;11;23;25;32;37;2;6;13;83;1118;2060;3809;52366;54417;97414;268135;786226;33134211
125;5;9;16;18;42;0;5;4;59;834;1425;2381;33164;39493;67872;162760;548258;21237418
126;2;17;25;36;45;2;13;15;77;1226;2072;3360;50261;50919;89764;271821;752836;33256947
127;7;30;38;40;43;0;2;4;29;506;1162;1662;27351;27324;53507;162734;428005;21396241
128;1;6;26;30;37;1;4;9;104;1279;2564;4124;62903;62646;121096;356602;946497;43435038
129;5;11;42;49;50;0;4;4;36;844;1621;2059;28352;39278;81657;146007;579021;28349932
130;20;24;27;37;39;0;5;7;61;1154;2242;2474;37896;50828;102799;201864;757614;36306374
131;5;17;20;47;50;0;1;4;28;797;1671;1741;26053;35488;75044;142231;534557;25384552
132;4;7;9;23;24;0;12;13;88;2175;3724;3851;47494;80580;145170;227709;1003059;35208158
133;16;17;31;47;49;0;2;6;19;577;1130;1312;20205;28176;59573;108966;446599;23183004
134;21;36;37;42;48;0;4;9;44;867;1721;2712;40816;43525;80776;237626;647169;32857966
135;3;4;11;14;43;0;4;6;39;723;1531;1880;26562;33738;74090;136034;490911;21544039
136;12;23;29;38;49;0;6;16;93;1878;3373;3700;54869;78470;145068;291348;1110361;47318707
137;14;15;16;19;44;1;5;1;40;626;1229;1816;26682;32979;56903;136132;516362;20572907
138;13;16;24;26;35;1;4;7;95;1333;2209;4053;53410;59271;96782;266450;802636;31509717
139;19;23;34;47;50;1;3;3;43;586;1400;1856;27666;30253;63406;154386;450737;22119206
140;18;26;32;33;42;0;0;5;53;1046;1715;2292;32295;47717;83117;177964;723564;32260413
141;16;18;31;38;49;1;1;3;31;635;1403;1309;19521;28858;66241;105422;429078;23630930
142;4;12;15;28;33;0;5;19;46;1322;3833;2056;29674;52674;148460;151142;704047;34414477
143;11;13;14;28;30;0;13;13;77;1490;2172;2702;33105;52929;86089;151343;663934;22881061
144;1;15;28;35;47;1;8;22;67;1139;2150;2906;43986;51466;98305;234880;786010;36522583
145;4;5;13;27;35;2;8;20;86;2438;4918;4934;71774;104021;215973;353884;1446703;60872552
146;10;11;30;36;45;0;8;18;112;2092;4243;4734;72704;96694;198263;384140;1461319;68173197
147;17;24;33;41;44;0;13;21;90;1687;4286;3462;49945;65251;162164;261844;903384;47687146
148;10;25;41;47;48;0;6;8;88;1361;2927;3433;52279;66403;142524;288018;1036614;57794527
149;5;7;9;25;41;0;5;19;93;1859;3140;4466;57327;83163;139060;268817;1035361;40277621
150;7;14;26;45;50;0;5;17;144;1928;3573;6135;91216;92839;165460;475285;1396718;59444330
151;31;33;34;37;40;0;4;9;26;586;1307;1381;22549;25215;51983;135077;400061;22789589
152;27;28;29;34;43;0;1;10;60;971;1965;2440;36334;49457;101683;202184;757486;37081285
153;8;13;26;34;38;1;5;8;46;1134;2469;2099;28427;48456;102839;151217;667200;31080504
154;7;17;22;27;40;0;18;19;106;2726;4019;3990;51476;98209;164743;258854;1177783;42875653
155;7;8;19;28;29;0;7;5;97;1311;2325;3703;49444;55694;97875;230549;740640;26551871
156;6;20;24;25;50;0;9;10;45;1045;2357;2208;32595;49915;111986;171433;759671;38111358
157;7;8;24;27;36;0;3;3;39;855;1759;1783;26107;39439;84980;134098;567601;24663446
158;1;32;35;45;48;0;0;6;37;783;1712;1689;25720;36864;80099;143738;561911;33764423
159;13;27;28;42;43;0;3;11;30;700;1497;2150;31116;33956;70919;159674;484737;21866317
160;3;5;34;40;49;0;3;8;33;884;1532;1969;32779;44699;76664;182027;741927;32251659
161;13;36;40;43;50;0;1;8;36;637;1070;1729;28972;27889;50093;165664;437162;20992059
162;11;16;24;38;40;1;5;8;112;1386;2203;3810;53301;56420;94966;281436;808508;33518633
163;1;4;7;10;50;0;7;10;39;1329;2654;1488;19788;41964;92383;96885;492257;21072083
